id, text, dialect
ID: 331814, Text: τουτον τον σϙυφον πορϙος ????????? ες τον θιασον τον παρον αι δ εφιλε φρυναν ουκ αλλος κ αγε ο δε γραπσας τον αννεμοντα πυγιξει., Dialect: dialect.west_greek.doric.unspecified
ID: 331814, Text: τουτον τον σϙυφον πορϙος αποδιδοτι ες τον θιασον τον παρον αι δ εφιλε φρυναν ουκ αλλος κ αγε ο δε ??????? τον αννεμοντα πυγιξει., Dialect: dialect.west_greek.doric.unspecified

ID: 330104, Text: - - - κοινοι καλει ει ατελεστα και ???? και επεα ειναι και σικαναι ατελεστα και εργα και επεα ειναι καλει ει., Dialect: dialect.west_greek.doric.megarian
ID: 330104, Text: - - - κοινοι καλει ει ατελεστα και εργα και επεα ειναι και σικαναι ατελεστα και εργα ??? επεα ειναι καλει ει., Dialect: dialect.west_greek.doric.megarian
ID: 330104, Text: - - - κοινοι καλει ει ατελεστα και εργα και επεα ειναι και σικαναι ατελεστα και εργα και ???? ειναι καλει ει., Dialect: dialect.west_greek.doric.megarian

ID: 304763, Text: ???? τοζ ιδαμενευς ποιησα ινα κλεος ειη ζευ δε νιν οστις πημαινοι λειολη θειε., Dialect: dialect.west_greek.doric.rhodian
ID: 304763, Text: σαμα τοζ ιδαμενευς ποιησα ινα κλεος ειη ??? δε νιν οστις πημαινοι λειολη θειε., Dialect: dialect.west_greek.doric.rhodian

ID: 201834, Text: των υων οι πλιες. κηνδυεσες η καλως. ες τομορον. αι δασασθοσαν ες δαμομϙοσμος επεσταϙως αδικιοντα λει εκτεισαι απλοπιαι και αι μη αυτοις ισον πολι εασε μημεν τωι ?????? - - - εκεν τεμενια περιοιϙον το ισον λακεν ϙοικιας - - - ιδιαγοι δικαια δε οτερον καλω ληται ο ποινικαστας αιπερ οι αλοι κρησεταιην ϙοσμοι αδικα οι τελεται αλα δε ουδ αιλεν αι κα ϙωι αλοι αρϙωνται., Dialect: dialect.west_greek.doric.cretan
ID: 201834, Text: των υων οι πλιες. κηνδυεσες η καλως. ες τομορον. αι δασασθοσαν ες δαμομϙοσμος επεσταϙως αδικιοντα λει εκτεισαι απλοπιαι και αι μη αυτοις ισον πολι εασε μημεν τωι ϙοσμωι - - - εκεν τεμενια περιοιϙον το ισον λακεν ϙοικιας - - - ιδιαγοι δικαια δε οτερον καλω ληται ο ??????????? αιπερ οι αλοι κρησεταιην ϙοσμοι αδικα οι τελεται αλα δε ουδ αιλεν αι κα ϙωι αλοι αρϙωνται., Dialect: dialect.west_greek.doric.cretan

ID: 337363, Text: υσκον δαμιος του κορετου ανθεμοκριτος. εφιετο απελιν ενγυασασθαι ???? δε εφα ειμειν κατελαζετο τον λεοντινον ξενιν μυσκονα εν ται πλατειαι θοκεοντας ουκ αργυριον εχον ικε βοον τιμαν ουκ επριατο αι ποτ ενπεδοκλε τον μνασιμαχου ποτενθει γενεσθο ενγυασασθαι., Dialect: dialect.west_greek.doric.geloan
ID: 337363, Text: υσκον δαμιος του κορετου ανθεμοκριτος. εφιετο απελιν ενγυασασθαι σομα δε εφα ειμειν κατελαζετο τον λεοντινον ξενιν μυσκονα εν ται πλατειαι θοκεοντας ουκ αργυριον εχον ικε ???? τιμαν ουκ επριατο αι ποτ ενπεδοκλε τον μνασιμαχου ποτενθει γενεσθο ενγυασασθαι., Dialect: dialect.west_greek.doric.geloan

ID: 330383, Text: αριστοκλειας εμι τας καλας καλα αυτα δ ??? πιθαϙος αιτεσας εχει., Dialect: dialect.west_greek.doric.megarian
ID: 330383, Text: αριστοκλειας εμι τας καλας καλα αυτα δ εμι πιθαϙος αιτεσας ????., Dialect: dialect.west_greek.doric.megarian

ID: 201994, Text: ???? εαδε λυκτιοισι αλλοπολιαταν οστις κα δεκσεται ερρεν αι μη οσω υτος τε καρτει και τονς ιτανιονς αι δε καρτησαι η κοσμιων η αποκοσμος υπερ ωλας αδας εκατον λεβητας τεισει εκαστω οσος κα δεκσεται τουτος δε οι εσζικαιωτηρες επ ο τε κα παυσεται αι κα μη ανιωνται παρ τωι επι ορ ωι ομιονται αποδομεν -οκον - - - ται τ - - -., Dialect: dialect.west_greek.doric.cretan
ID: 201994, Text: θιοι εαδε λυκτιοισι αλλοπολιαταν οστις κα δεκσεται ερρεν αι μη οσω υτος τε καρτει και τονς ιτανιονς αι δε καρτησαι η κοσμιων η αποκοσμος υπερ ωλας αδας εκατον ??????? τεισει εκαστω οσος κα δεκσεται τουτος δε οι εσζικαιωτηρες επ ο τε κα παυσεται αι κα μη ανιωνται παρ τωι επι ορ ωι ομιονται αποδομεν -οκον - - - ται τ - - -., Dialect: dialect.west_greek.doric.cretan

ID: 329604, Text: σελινοντιος και α σελινοντιο ????? απεστραμεν επ ατελειαι ενγραφο ται τενον. και τον ξενον συνδιϙον τας γλοσας απεστραμενας επ ατελειαι ται τενον ενγραφο., Dialect: dialect.west_greek.doric.megarian
ID: 329604, Text: σελινοντιος και α σελινοντιο γλοσα απεστραμεν επ ατελειαι ??????? ται τενον. και τον ξενον συνδιϙον τας γλοσας απεστραμενας επ ατελειαι ται τενον ενγραφο., Dialect: dialect.west_greek.doric.megarian

ID: 195543, Text: γελον ο δεινομενεος ανεθεκε τοπολλονι συραϙοσιος. τον τριποδα και τεν νικεν ???????? βιον διοδορο υιος μιλεσιος., Dialect: dialect.west_greek.doric.corinthian

ID: 340073, Text: πιθαϙος αρεος αφαιστιον ισα-τας εριφιλος τερπεφιλο μυταλας καλεος θοπυλος ξενονος αθανις αντανδρο χαρον αγασαρχο σιλανος ???? αθανις αγασαρχο ξενον ινυϙο αγιας φιλοδαμο δεινιας σφυρί φιλονος ναϙοι., Dialect: dialect.west_greek.doric.megarian
ID: 340073, Text: πιθαϙος αρεος αφαιστιον ισα-τας εριφιλος τερπεφιλο μυταλας καλεος θοπυλος ξενονος αθανις αντανδρο χαρον αγασαρχο σιλανος αγια αθανις αγασαρχο ξενον ινυϙο ????? φιλοδαμο δεινιας σφυρί φιλονος ναϙοι., Dialect: dialect.west_greek.doric.megarian

